company,title,location,expertise/department,commitment,url,first_seen_at,last_seen_at,is_active
Mercor,DevOps / Platform Engineer Talent Network,Remote,Software Engineering,part-time,https://work.mercor.com/jobs/list_AAABnHwmotmNJkvkSDZK5Yz0,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,DevOps / SRE / Cloud Engineer (Coding Agent Experience),Remote,Software Engineering,hourly,https://work.mercor.com/jobs/list_AAABnsvjfx27q5i9_ItICqEv,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Document/deck production QA Evaluator,Remote,Miscellaneous,hourly,https://work.mercor.com/jobs/list_AAABnp6RBcl-PlfxglxIdJS_,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Dutch Audio Generalist Evaluator Expert,Remote,Language and Audio,hourly,https://work.mercor.com/jobs/list_AAABm8WTf2kt4QH2l-FIhJEH,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Education / school Evaluator,Remote,"Life, Physical, and Social Science",hourly,https://work.mercor.com/jobs/list_AAABnp6OmEI2W-UJPd1FkJIA,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Electrical Engineering Expert (Semiconductor / ASIC / RFIC),Remote,Other Engineering,hourly,https://work.mercor.com/jobs/list_AAABnkGV0qQnsd2SWxJINKun,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Engineering & Built Environment Experts,Remote,Other Engineering,hourly,https://work.mercor.com/jobs/list_AAABnqhzPmHn5_YDl8JNXZ2b,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,English (US) Audio Generalist Evaluator Expert,Remote,Language and Audio,hourly,https://work.mercor.com/jobs/list_AAABnpPnj8HDVeWXIWZFYZoE,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Equity Research Expert,Remote,Finance,hourly,https://work.mercor.com/jobs/list_AAABnGrPnP-dfUgYkaFLdrYE,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Excel Expert — Healthcare,United States,Data Analysis,hourly,https://work.mercor.com/jobs/list_AAABnoaPoNOGollIsvdAE6Hy,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Excel Expert — IT / Enterprise Software,United States,Miscellaneous,hourly,https://work.mercor.com/jobs/list_AAABnoaRYU6Hv4tdps1G0ZmS,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
